I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-39,-73,-34,56,-2,-53,19,-58,-78,-78,-68,-48
-39,-68,-29,53,-4,-48,19,-58,-78,-78,-68,-48
-53,-73,-19,63,-17,-46,19,-48,-68,-87,-78,-48
-58,-78,-19,68,-19,-48,19,-48,-68,-87,-78,-48
-63,-82,-19,73,-21,-51,19,-48,-68,-87,-78,-48
-68,-87,-19,78,-24,-53,19,-48,-68,-87,-78,-48
-58,-87,-29,73,-14,-58,19,-58,-78,-87,-78,-48
-58,-87,-29,73,-14,-58,19,-58,-78,-87,-78,-48
-58,-87,-29,73,-14,-58,19,-58,-78,-87,-78,-48
-58,-87,-29,73,-14,-58,19,-58,-78,-87,-78,-48
-58,-87,-29,73,-14,-58,19,-58,-68,-87,-78,-48
-58,-87,-29,73,-14,-58,19,-58,-68,-87,-78,-48
-58,-87,-29,73,-14,-58,19,-58,-68,-87,-78,-48
-58,-87,-29,73,-14,-58,19,-58,-68,-87,-78,-48
-53,-82,-29,68,-12,-56,9,-58,-78,-87,-78,-48
-48,-78,-29,63,-9,-53,9,-58,-78,-87,-78,-48
-43,-73,-29,58,-7,-51,9,-58,-78,-87,-78,-48
-39,-68,-29,53,-4,-48,9,-58,-78,-87,-78,-48
-48,-68,-19,58,-14,-43,19,-58,-68,-78,-78,-39
-48,-68,-19,58,-14,-43,19,-58,-68,-78,-78,-39
-48,-68,-19,58,-14,-43,19,-58,-68,-78,-78,-39
-48,-68,-19,58,-14,-43,19,-58,-68,-78,-78,-39
-48,-73,-24,61,-12,-48,19,-48,-68,-78,-68,-39
-48,-78,-29,63,-9,-53,19,-48,-68,-78,-68,-39
-48,-82,-34,65,-7,-58,19,-48,-68,-78,-68,-39
-48,-87,-39,68,-4,-63,19,-48,-68,-78,-68,-39
-58,-87,-29,73,-14,-58,19,-58,-78,-87,-78,-48
-58,-87,-29,73,-14,-58,19,-58,-78,-87,-78,-48
-58,-87,-29,73,-14,-58,19,-58,-78,-87,-78,-48
-58,-87,-29,73,-14,-58,19,-58,-78,-87,-78,-48
-43,-78,-34,61,-4,-56,19,-58,-87,-97,-87,-58
-39,-78,-39,58,0,-58,19,-58,-87,-97,-87,-58
-34,-78,-43,56,4,-61,19,-58,-87,-97,-87,-58
-29,-78,-48,53,9,-63,19,-58,-87,-97,-87,-58
-39,-78,-39,58,0,-58,9,-58,-78,-97,-78,-58
-39,-78,-39,58,0,-58,9,-58,-78,-97,-78,-58
-39,-78,-39,58,0,-58,9,-58,-78,-97,-78,-58
-39,-78,-39,58,0,-58,9,-58,-78,-97,-78,-58
-29,-87,-58,58,14,-73,9,-58,-78,-87,-87,-58
-29,-87,-58,58,14,-73,9,-58,-78,-87,-87,-58
-29,-87,-58,58,14,-73,9,-58,-78,-87,-87,-58
-29,-87,-58,58,14,-73,9,-58,-78,-87,-87,-58
-29,-87,-58,58,14,-73,19,-58,-78,-87,-87,-58
-29,-87,-58,58,14,-73,19,-58,-78,-87,-87,-58
-29,-87,-58,58,14,-73,19,-58,-78,-87,-87,-58
-29,-87,-58,58,14,-73,19,-58,-78,-87,-87,-58
-39,-82,-43,61,2,-63,9,-58,-78,-97,-87,-48
-39,-78,-39,58,0,-58,9,-58,-78,-97,-87,-48
-39,-73,-34,56,-2,-53,9,-58,-78,-97,-87,-48
-39,-68,-29,53,-4,-48,9,-58,-78,-97,-87,-48
-39,-73,-34,56,-2,-53,14,-48,-68,-92,-78,-39
-39,-78,-39,58,0,-58,19,-48,-68,-87,-78,-39
-39,-82,-43,61,2,-63,24,-48,-68,-82,-78,-39
-39,-87,-48,63,4,-68,29,-48,-68,-78,-78,-39
-48,-87,-39,68,-4,-63,19,-58,-68,-87,-78,-48
-48,-87,-39,68,-4,-63,19,-58,-68,-87,-78,-48
-48,-87,-39,68,-4,-63,19,-58,-68,-87,-78,-48
-48,-87,-39,68,-4,-63,19,-58,-68,-87,-78,-48
-39,-78,-39,58,0,-58,9,-68,-73,-97,-87,-48
-39,-78,-39,58,0,-58,9,-68,-78,-97,-87,-48
-39,-78,-39,58,0,-58,9,-68,-82,-97,-87,-48
-39,-78,-39,58,0,-58,9,-68,-87,-97,-87,-48
-39,-78,-39,58,0,-58,9,-58,-78,-97,-87,-48
-39,-78,-39,58,0,-58,9,-58,-78,-97,-87,-48
-39,-78,-39,58,0,-58,9,-58,-78,-97,-87,-48
-39,-78,-39,58,0,-58,9,-58,-78,-97,-87,-48
-29,-78,-48,53,9,-63,9,-58,-78,-97,-78,-48
-29,-78,-48,53,9,-63,9,-58,-78,-97,-78,-48
-29,-78,-48,53,9,-63,9,-58,-78,-97,-78,-48
-29,-78,-48,53,9,-63,9,-58,-78,-97,-78,-48
-29,-68,-39,48,4,-53,9,-58,-87,-97,-87,-48
-29,-68,-39,48,4,-53,9,-58,-87,-97,-87,-48
-29,-68,-39,48,4,-53,9,-58,-87,-97,-87,-48
-29,-68,-39,48,4,-53,9,-58,-87,-97,-87,-48
-39,-78,-39,58,0,-58,14,-58,-78,-97,-87,-48
-39,-78,-39,58,0,-58,19,-58,-78,-97,-87,-48
-39,-78,-39,58,0,-58,24,-58,-78,-97,-87,-48
-39,-78,-39,58,0,-58,29,-58,-78,-97,-87,-48
-39,-78,-39,58,0,-58,24,-58,-78,-87,-87,-48
-39,-78,-39,58,0,-58,19,-58,-78,-87,-87,-48
-39,-78,-39,58,0,-58,14,-58,-78,-87,-87,-48
-39,-78,-39,58,0,-58,9,-58,-78,-87,-87,-48
-43,-68,-24,56,-9,-46,9,-58,-78,-97,-78,-58
-43,-63,-19,53,-12,-41,9,-58,-78,-97,-82,-58
-39,-63,-24,51,-7,-43,9,-58,-78,-97,-82,-58
-39,-63,-24,51,-7,-43,9,-58,-78,-97,-82,-58
-43,-78,-34,61,-4,-56,19,-58,-78,-97,-82,-58
-43,-78,-34,61,-4,-56,19,-58,-78,-97,-82,-58
-48,-73,-24,61,-12,-48,19,-58,-78,-97,-82,-58
-53,-73,-19,63,-17,-46,19,-58,-78,-97,-82,-58
-43,-73,-29,58,-7,-51,19,-58,-78,-92,-78,-53
-39,-73,-34,56,-2,-53,19,-58,-78,-92,-78,-53
-43,-73,-29,58,-7,-51,19,-58,-78,-92,-78,-53
-39,-78,-39,58,0,-58,19,-58,-78,-92,-78,-53
-34,-78,-43,56,4,-61,19,-68,-87,-92,-87,-53
-34,-73,-39,53,2,-56,19,-68,-87,-102,-87,-58
-34,-73,-39,53,2,-56,19,-68,-87,-102,-87,-58
-34,-73,-39,53,2,-56,19,-68,-87,-102,-87,-58
-39,-73,-34,56,-2,-53,9,-58,-87,-92,-78,-58
-34,-73,-39,53,2,-56,9,-58,-87,-92,-78,-58
-34,-73,-39,53,2,-56,9,-58,-87,-92,-82,-58
-39,-78,-39,58,0,-58,9,-58,-82,-92,-82,-53
-39,-78,-39,58,0,-58,9,-58,-82,-92,-82,-53
-39,-73,-34,56,-2,-53,9,-58,-82,-92,-82,-53
-39,-73,-34,56,-2,-53,9,-58,-82,-92,-82,-53
-39,-73,-34,56,-2,-53,9,-58,-82,-92,-82,-53
-29,-73,-43,51,7,-58,19,-68,-87,-102,-92,-58
-29,-73,-43,51,7,-58,19,-68,-87,-102,-92,-58
-29,-73,-43,51,7,-58,19,-68,-87,-97,-87,-58
-29,-68,-39,48,4,-53,19,-68,-82,-97,-87,-53
-19,-73,-53,46,17,-63,19,-58,-82,-97,-87,-53
-19,-73,-53,46,17,-63,19,-58,-82,-97,-87,-53
-24,-73,-48,48,12,-61,19,-58,-78,-92,-87,-48
-24,-68,-43,46,9,-56,24,-53,-73,-82,-78,-39
-29,-48,-19,39,-4,-34,19,-63,-68,-92,-73,-39
-24,-39,-14,31,-4,-26,14,-53,-63,-82,-73,-39
-24,-39,-14,31,-4,-26,14,-48,-58,-82,-63,-34
-24,-34,-9,29,-7,-21,9,-43,-53,-78,-58,-34
-24,-9,14,17,-19,2,9,-34,-48,-73,-48,-19
-19,9,29,4,-24,19,9,-34,-43,-58,-48,-19
-19,19,39,0,-29,29,9,-24,-34,-53,-48,-14
-19,24,43,-2,-31,34,19,-24,-29,-48,-43,-14
-9,19,29,-4,-19,24,24,-24,-29,-58,-53,-24
-9,19,29,-4,-19,24,29,-24,-29,-53,-53,-24
-9,19,29,-4,-19,24,24,-29,-29,-53,-53,-19
-9,14,24,-2,-17,19,29,-29,-29,-43,-48,-14
-9,29,39,-9,-24,34,14,-19,-19,-34,-34,4
0,34,34,-17,-17,34,4,-24,-14,-34,-29,4
0,39,39,-19,-19,39,0,-34,-9,-34,-29,4
0,43,43,-21,-21,43,-19,-43,-9,-34,-24,4
-4,43,48,-19,-26,46,-29,-63,-19,-34,-34,-4
0,43,43,-21,-21,43,-53,-68,-19,-34,-24,0
0,48,48,-24,-24,48,-58,-73,-19,-34,-24,4
0,48,48,-24,-24,48,-58,-73,-19,-39,-24,4
19,53,34,-36,-7,43,-63,-97,-43,-48,-39,4
29,48,19,-39,4,34,-73,-102,-53,-53,-39,4
34,43,9,-39,12,26,-73,-112,-58,-63,-39,4
34,39,4,-36,14,21,-73,-117,-68,-68,-48,0
19,34,14,-26,2,24,-68,-112,-82,-78,-48,-4
19,29,9,-24,4,19,-73,-122,-92,-82,-48,-4
34,19,-14,-26,24,2,-82,-126,-97,-87,-53,-4
43,14,-29,-29,36,-7,-87,-131,-107,-92,-58,-9
48,14,-34,-31,41,-9,-97,-141,-107,-97,-68,-9
53,24,-29,-39,41,-2,-97,-141,-107,-97,-68,-4
58,24,-34,-41,46,-4,-97,-136,-107,-87,-58,0
58,19,-39,-39,48,-9,-87,-126,-97,-82,-48,4
43,29,-14,-36,29,7,-82,-122,-102,-78,-39,9
39,29,-9,-34,24,9,-73,-112,-102,-73,-39,9
34,29,-4,-31,19,12,-63,-112,-97,-73,-39,9
24,24,0,-24,12,12,-43,-107,-97,-73,-39,4
9,0,-9,-4,9,-4,-43,-97,-92,-78,-43,14
0,-4,-4,2,2,-4,-39,-92,-87,-78,-43,0
-4,-9,-4,7,0,-7,-29,-82,-82,-78,-43,0
-19,-14,4,17,-12,-4,-29,-82,-78,-78,-48,0
-19,-24,-4,21,-7,-14,-24,-92,-87,-82,-53,0
-19,-34,-14,26,-2,-24,-24,-97,-92,-92,-63,-9
-19,-39,-19,29,0,-29,-24,-97,-107,-107,-73,-24
-19,-48,-29,34,4,-39,-24,-97,-107,-107,-78,-34
-19,-63,-43,41,12,-53,-4,-92,-107,-112,-92,-39
-34,-73,-39,53,2,-56,0,-87,-107,-112,-97,-53
-39,-78,-39,58,0,-58,4,-78,-102,-102,-97,-53
-43,-97,-53,70,4,-75,9,-73,-102,-112,-102,-58
-53,-73,-19,63,-17,-46,19,-68,-102,-117,-102,-63
-58,-87,-29,73,-14,-58,29,-68,-107,-112,-107,-78
-78,-107,-29,92,-24,-68,39,-53,-97,-122,-126,-97
-97,-117,-19,107,-39,-68,68,-29,-87,-122,-146,-122
-92,-97,-4,95,-43,-51,107,14,-58,-131,-170,-151
-92,-78,14,85,-53,-31,151,78,-19,-126,-185,-175
-117,-73,43,95,-80,-14,175,136,24,-107,-175,-175
-146,-48,97,97,-122,24,185,156,48,-92,-170,-175
-136,-19,117,78,-126,48,175,175,92,-43,-126,-136
-87,0,87,43,-87,43,175,200,151,39,-53,-82
-9,9,19,0,-14,14,161,239,204,126,29,-9
58,19,-39,-39,48,-9,131,258,244,209,136,82
136,29,-107,-82,122,-39,92,253,283,297,273,214
214,43,-170,-129,192,-63,24,229,307,395,434,370
312,112,-200,-212,256,-43,-82,156,336,497,619,561
434,185,-248,-309,341,-31,-190,87,375,639,839,761
570,248,-322,-409,446,-36,-292,14,400,771,1049,966
707,302,-405,-505,556,-51,-375,-63,400,893,1244,1146
849,385,-463,-617,656,-39,-488,-170,400,1029,1429,1317
985,453,-531,-719,758,-39,-600,-292,370,1141,1615,1488
1107,444,-663,-775,885,-109,-688,-409,292,1195,1747,1615
1195,366,-829,-780,1012,-231,-717,-492,200,1200,1825,1664
1239,268,-971,-753,1105,-351,-727,-546,165,1234,1898,1698
1234,239,-995,-736,1115,-378,-722,-610,122,1229,1922,1708
1171,214,-956,-692,1063,-370,-722,-736,-4,1122,1815,1615
971,204,-766,-588,868,-280,-678,-854,-107,961,1615,1459
697,185,-512,-441,605,-163,-570,-912,-146,810,1356,1239
483,136,-346,-309,414,-104,-483,-941,-204,605,1039,980
331,34,-297,-183,314,-131,-405,-927,-312,356,697,692
165,-63,-229,-51,197,-146,-292,-863,-390,102,375,414
0,-136,-136,68,68,-136,-185,-780,-448,-146,53,161
-97,-165,-68,131,-14,-117,-117,-732,-502,-331,-170,-24
-117,-175,-58,146,-29,-117,-97,-683,-527,-400,-263,-102
-126,-195,-68,161,-29,-131,-78,-600,-497,-395,-268,-131
-112,-200,-87,156,-12,-143,-63,-507,-444,-346,-234,-122
-82,-156,-73,119,-4,-114,-58,-439,-380,-273,-190,-102
-63,-122,-58,92,-2,-90,-39,-366,-312,-209,-146,-73
-58,-112,-53,85,-2,-82,-14,-297,-244,-156,-107,-58
-63,-117,-53,90,-4,-85,-4,-244,-200,-131,-92,-48
-53,-112,-58,82,2,-85,-9,-219,-175,-122,-73,-39
-29,-92,-63,61,17,-78,-9,-180,-146,-97,-58,-24
-19,-87,-68,53,24,-78,0,-151,-122,-87,-48,-24
-24,-102,-78,63,26,-90,9,-126,-117,-82,-58,-34
-29,-112,-82,70,26,-97,4,-112,-122,-73,-68,-39
-34,-92,-58,63,12,-75,4,-102,-122,-82,-82,-68
-34,-53,-19,43,-7,-36,19,-92,-112,-87,-87,-73
-34,-53,-19,43,-7,-36,34,-73,-87,-82,-78,-53
-43,-58,-14,51,-14,-36,39,-63,-87,-97,-82,-48
-48,-68,-19,58,-14,-43,43,-53,-87,-97,-97,-53
-63,-87,-24,75,-19,-56,43,-53,-87,-102,-102,-58
-68,-112,-43,90,-12,-78,48,-48,-92,-102,-102,-63
-58,-97,-39,78,-9,-68,43,-39,-92,-92,-97,-78
-58,-87,-29,73,-14,-58,43,-39,-92,-92,-97,-78
-63,-82,-19,73,-21,-51,43,-34,-87,-92,-102,-82
-63,-73,-9,68,-26,-41,43,-34,-87,-92,-102,-82
-58,-68,-9,63,-24,-39,34,-39,-87,-102,-117,-82
-53,-73,-19,63,-17,-46,34,-39,-87,-112,-117,-82
-53,-82,-29,68,-12,-56,34,-34,-87,-112,-117,-87
-53,-92,-39,73,-7,-65,34,-29,-87,-112,-117,-87
-48,-82,-34,65,-7,-58,34,-34,-92,-117,-122,-87
-48,-82,-34,65,-7,-58,34,-34,-87,-112,-122,-92
-43,-78,-34,61,-4,-56,34,-39,-92,-112,-122,-97
-39,-78,-39,58,0,-58,34,-43,-102,-117,-122,-107
-39,-87,-48,63,4,-68,29,-39,-92,-117,-117,-97
-39,-87,-48,63,4,-68,29,-39,-92,-117,-117,-97
-39,-87,-48,63,4,-68,39,-34,-87,-112,-112,-92
-34,-87,-53,61,9,-70,39,-34,-87,-112,-112,-92
-34,-87,-53,61,9,-70,39,-34,-87,-112,-122,-97
-34,-87,-53,61,9,-70,39,-29,-87,-112,-122,-97
-34,-87,-53,61,9,-70,39,-29,-82,-112,-117,-92
-34,-87,-53,61,9,-70,43,-29,-82,-112,-117,-92
-43,-82,-39,63,-2,-61,53,-39,-87,-112,-117,-92
-43,-78,-34,61,-4,-56,48,-39,-87,-112,-117,-92
-43,-73,-29,58,-7,-51,48,-34,-87,-112,-117,-92
-48,-68,-19,58,-14,-43,53,-34,-87,-112,-117,-92
-58,-73,-14,65,-21,-43,53,-19,-78,-97,-107,-82
-58,-87,-29,73,-14,-58,53,-19,-73,-97,-107,-82
-58,-92,-34,75,-12,-63,53,-14,-73,-92,-107,-82
-53,-92,-39,73,-7,-65,53,-14,-73,-92,-107,-82
-48,-87,-39,68,-4,-63,58,-9,-73,-92,-107,-82
-43,-87,-43,65,0,-65,58,-9,-73,-92,-107,-82
-43,-92,-48,68,2,-70,58,-9,-73,-92,-107,-82
-39,-92,-53,65,7,-73,58,-9,-73,-87,-107,-82
-48,-78,-29,63,-9,-53,58,-4,-63,-87,-107,-82
-48,-78,-29,63,-9,-53,63,-4,-63,-87,-107,-82
-48,-78,-29,63,-9,-53,63,-4,-63,-87,-102,-82
-48,-68,-19,58,-14,-43,63,-4,-58,-87,-102,-82
-39,-63,-24,51,-7,-43,53,-14,-68,-97,-107,-87
-39,-63,-24,51,-7,-43,53,-4,-63,-87,-102,-87
-34,-73,-39,53,2,-56,58,-4,-63,-82,-102,-92
-34,-73,-39,53,2,-56,58,-4,-63,-82,-102,-97
-39,-73,-34,56,-2,-53,53,0,-58,-97,-102,-97
-39,-78,-39,58,0,-58,53,0,-58,-97,-102,-97
-39,-78,-39,58,0,-58,58,0,-53,-92,-97,-92
-39,-68,-29,53,-4,-48,58,0,-53,-87,-97,-92
-39,-68,-29,53,-4,-48,68,9,-48,-78,-97,-87
-39,-68,-29,53,-4,-48,68,9,-48,-78,-102,-87
-34,-68,-34,51,0,-51,68,9,-48,-78,-102,-87
-34,-68,-34,51,0,-51,68,14,-43,-78,-97,-87
-24,-73,-48,48,12,-61,73,19,-43,-78,-87,-87
-24,-73,-48,48,12,-61,73,24,-39,-78,-87,-87
-24,-73,-48,48,12,-61,73,24,-39,-73,-92,-82
-24,-73,-48,48,12,-61,73,24,-39,-68,-92,-82
-34,-73,-39,53,2,-56,73,24,-29,-68,-92,-73
-34,-68,-34,51,0,-51,73,29,-29,-68,-82,-73
-34,-68,-34,51,0,-51,78,39,-19,-58,-78,-73
-34,-63,-29,48,-2,-46,78,39,-14,-58,-78,-68
-34,-63,-29,48,-2,-46,68,39,-24,-58,-82,-78
-39,-68,-29,53,-4,-48,73,39,-19,-53,-82,-73
-39,-68,-29,53,-4,-48,78,48,-14,-43,-78,-68
-39,-68,-29,53,-4,-48,78,53,-9,-39,-68,-68
-43,-58,-14,51,-14,-36,78,58,-9,-39,-68,-63
-43,-58,-14,51,-14,-36,78,58,-4,-34,-68,-63
-43,-58,-14,51,-14,-36,82,63,0,-34,-68,-63
-39,-58,-19,48,-9,-39,82,68,4,-29,-63,-63
-39,-68,-29,53,-4,-48,87,68,19,-29,-53,-63
-39,-53,-14,46,-12,-34,87,68,19,-29,-53,-63
-39,-48,-9,43,-14,-29,87,73,24,-24,-48,-63
-39,-48,-9,43,-14,-29,92,78,29,-19,-48,-53
-43,-48,-4,46,-19,-26,82,82,34,-14,-39,-53
-43,-48,-4,46,-19,-26,87,87,39,-9,-39,-48
-39,-48,-9,43,-14,-29,92,92,43,-4,-39,-48
-39,-43,-4,41,-17,-24,92,97,48,0,-34,-48
-29,-34,-4,31,-12,-19,82,97,48,0,-43,-48
-19,-29,-9,24,-4,-19,82,97,48,0,-39,-53
-19,-29,-9,24,-4,-19,82,97,48,0,-39,-58
-19,-29,-9,24,-4,-19,82,92,48,0,-39,-63
-14,-43,-29,29,7,-36,87,107,63,9,-34,-53
-9,-43,-34,26,12,-39,87,112,73,14,-24,-53
-4,-39,-34,21,14,-36,87,122,82,24,-34,-53
0,-39,-39,19,19,-39,87,136,87,34,-34,-48
9,-29,-39,9,24,-34,92,136,87,29,-19,-48
9,-19,-29,4,19,-24,97,141,97,34,-14,-48
14,-19,-34,2,24,-26,97,146,97,39,-14,-43
19,-9,-29,-4,24,-19,97,151,102,43,-14,-43
19,-19,-39,0,29,-29,87,165,126,53,-4,-43
29,-19,-48,-4,39,-34,92,180,141,68,0,-39
29,-14,-43,-7,36,-29,97,190,146,73,4,-34
24,-14,-39,-4,31,-26,97,200,156,82,9,-24
24,-4,-29,-9,26,-17,102,195,156,87,14,-24
34,0,-34,-17,34,-17,102,204,165,92,19,-24
34,4,-29,-19,31,-12,102,214,175,102,24,-24
34,4,-29,-19,31,-12,107,224,185,112,29,-19
24,9,-14,-17,19,-2,107,234,200,117,29,-19
34,14,-19,-24,26,-2,112,244,214,126,34,-19
34,19,-14,-26,24,2,112,253,219,126,43,-14
29,19,-9,-24,19,4,112,263,234,141,48,-9
19,29,9,-24,4,19,126,278,248,156,63,4
29,34,4,-31,12,19,131,287,258,165,68,4
39,39,0,-39,19,19,131,297,273,175,73,4
39,39,0,-39,19,19,131,312,287,185,82,14
48,48,0,-48,24,24,122,326,297,195,92,14
53,58,4,-56,24,31,126,336,307,209,97,19
53,63,9,-58,21,36,126,346,326,219,107,24
58,63,4,-61,26,34,136,356,341,229,112,29
58,73,14,-65,21,43,136,366,356,239,112,34
63,73,9,-68,26,41,136,370,370,248,117,34
68,73,4,-70,31,39,136,385,380,258,122,39
68,78,9,-73,29,43,141,395,395,273,131,43
78,87,9,-82,34,48,151,405,400,287,141,39
78,92,14,-85,31,53,151,419,419,302,151,43
82,92,9,-87,36,51,161,429,429,312,165,53
92,102,9,-97,41,56,161,444,444,326,175,68
97,97,0,-97,48,48,161,468,463,346,180,73
102,97,-4,-100,53,46,161,468,473,351,190,73
102,102,0,-102,51,51,161,478,488,356,190,78
112,107,-4,-109,58,51,161,488,502,370,195,82
112,122,9,-117,51,65,151,488,507,385,200,92
117,126,9,-122,53,68,151,497,512,385,204,92
117,131,14,-124,51,73,151,502,527,385,214,92
126,136,9,-131,58,73,146,507,531,390,219,92
126,146,19,-136,53,82,156,517,551,405,229,107
126,146,19,-136,53,82,156,522,561,414,234,112
131,146,14,-139,58,80,156,531,566,419,239,117
136,151,14,-143,61,82,156,531,575,424,244,122
146,146,0,-146,73,73,146,531,585,429,248,117
146,156,9,-151,68,82,146,531,585,434,258,122
151,161,9,-156,70,85,141,527,580,439,258,126
151,161,9,-156,70,85,141,522,580,439,263,126
151,165,14,-158,68,90,141,522,580,439,253,131
156,175,19,-165,68,97,131,517,580,439,248,131
156,185,29,-170,63,107,131,502,570,429,244,126
156,190,34,-173,61,112,122,492,566,429,244,126
161,185,24,-173,68,104,126,492,561,429,253,131
161,180,19,-170,70,100,122,478,551,429,253,131
161,180,19,-170,70,100,112,463,531,414,253,141
165,180,14,-173,75,97,102,444,522,405,253,141
175,180,4,-178,85,92,87,419,507,395,244,141
180,180,0,-180,90,90,82,400,483,385,244,141
185,165,-19,-175,102,73,73,375,463,370,229,141
185,161,-24,-173,104,68,68,351,439,356,224,136
195,146,-48,-170,122,48,63,341,414,322,214,136
195,146,-48,-170,122,48,53,317,395,312,200,126
185,146,-39,-165,112,53,43,297,375,297,195,122
185,136,-48,-161,117,43,43,278,351,287,185,117
175,131,-43,-153,109,43,34,248,322,278,175,112
165,126,-39,-146,102,43,24,229,302,258,161,102
156,122,-34,-139,95,43,14,204,278,244,161,102
146,122,-24,-134,85,48,9,195,258,224,151,97
131,117,-14,-124,73,51,4,165,224,204,151,92
131,102,-29,-117,80,36,4,151,209,190,141,92
122,87,-34,-104,78,26,0,131,190,175,131,87
102,73,-29,-87,65,21,-4,117,170,156,122,78
112,78,-34,-95,73,21,-14,102,161,141,102,73
107,78,-29,-92,68,24,-14,82,141,131,97,73
107,82,-24,-95,65,29,-19,73,122,117,92,63
102,73,-29,-87,65,21,-24,63,112,102,82,58
87,68,-19,-78,53,24,-14,48,102,92,87,68
87,68,-19,-78,53,24,-14,39,87,82,78,58
82,68,-14,-75,48,26,-14,29,78,78,68,53
73,58,-14,-65,43,21,-9,19,63,63,68,43
58,48,-9,-53,34,19,-19,9,43,48,58,39
58,39,-19,-48,39,9,-19,9,34,39,53,34
48,39,-9,-43,29,14,-19,-4,24,29,43,29
48,34,-14,-41,31,9,-19,-4,14,19,29,24
34,43,9,-39,12,26,-19,-24,-4,14,19,19
34,43,9,-39,12,26,-19,-24,-9,9,9,14
29,34,4,-31,12,19,-14,-29,-9,0,9,14
19,34,14,-26,2,24,-14,-34,-14,-4,4,4
24,24,0,-24,12,12,-24,-39,-24,-14,-4,0
24,14,-9,-19,17,2,-24,-39,-24,-24,-9,0
19,9,-9,-14,14,0,-24,-43,-34,-24,-14,-4
19,9,-9,-14,14,0,-24,-43,-39,-29,-14,-4
19,-9,-29,-4,24,-19,-24,-53,-48,-34,-29,-9
19,-9,-29,-4,24,-19,-24,-53,-48,-39,-29,-9
14,0,-14,-7,14,-7,-24,-58,-53,-43,-29,-14
14,0,-14,-7,14,-7,-24,-58,-58,-58,-39,-19
4,4,0,-4,2,2,-14,-53,-53,-48,-29,-19
4,4,0,-4,2,2,-14,-53,-53,-53,-34,-19
4,4,0,-4,2,2,-14,-53,-53,-58,-39,-24
4,4,0,-4,2,2,-9,-53,-58,-58,-39,-24
-4,-4,0,4,-2,-2,-9,-53,-68,-58,-48,-34
-4,-4,0,4,-2,-2,-9,-53,-63,-58,-48,-34
0,-9,-9,4,4,-9,-9,-53,-58,-58,-48,-34
0,-9,-9,4,4,-9,-9,-53,-58,-58,-53,-34
-9,-4,4,7,-7,0,-9,-63,-58,-68,-53,-43
-9,0,9,4,-9,4,-9,-63,-63,-73,-53,-48
-19,4,24,7,-21,14,-9,-63,-68,-78,-63,-48
-24,4,29,9,-26,17,-4,-58,-73,-78,-63,-48
-19,14,34,2,-26,24,4,-58,-63,-73,-48,-48
-19,19,39,0,-29,29,0,-58,-63,-68,-48,-53
-14,19,34,-2,-24,26,0,-58,-63,-63,-53,-53
-9,9,19,0,-14,14,0,-58,-63,-58,-53,-48
-14,9,24,2,-19,17,-4,-58,-68,-68,-63,-48
-14,14,29,0,-21,21,-9,-58,-68,-68,-63,-48
-9,14,24,-2,-17,19,-14,-58,-68,-68,-63,-58
-9,9,19,0,-14,14,-19,-58,-68,-73,-63,-58
-19,-4,14,12,-17,4,-9,-53,-58,-63,-48,-43
-19,-14,4,17,-12,-4,0,-53,-58,-63,-48,-43
-19,-4,14,12,-17,4,4,-53,-58,-63,-48,-48
-19,-4,14,12,-17,4,9,-53,-58,-63,-48,-48
-9,0,9,4,-9,4,9,-48,-58,-73,-58,-48
-9,4,14,2,-12,9,9,-48,-58,-73,-58,-48
-9,4,14,2,-12,9,9,-48,-58,-73,-58,-48
-9,9,19,0,-14,14,9,-48,-58,-63,-58,-48
-14,0,14,7,-14,7,14,-48,-48,-53,-48,-43
-14,0,14,7,-14,7,14,-43,-48,-53,-48,-43
-9,4,14,2,-12,9,14,-43,-48,-58,-48,-43
-9,4,14,2,-12,9,14,-43,-48,-58,-48,-43
-19,-4,14,12,-17,4,9,-34,-48,-68,-58,-48
-19,-4,14,12,-17,4,9,-34,-48,-68,-58,-48
-19,-4,14,12,-17,4,14,-34,-48,-68,-58,-48
-19,-4,14,12,-17,4,14,-29,-43,-68,-58,-48
-9,4,14,2,-12,9,9,-29,-43,-58,-48,-39
-9,4,14,2,-12,9,4,-34,-43,-58,-53,-39
-14,4,19,4,-17,12,0,-34,-43,-58,-53,-39
-14,-4,9,9,-12,2,-4,-34,-43,-58,-53,-43
-29,-4,24,17,-26,9,4,-43,-43,-58,-53,-43
-29,-4,24,17,-26,9,4,-43,-43,-58,-53,-43
-19,-4,14,12,-17,4,4,-43,-43,-58,-53,-43
-19,0,19,9,-19,9,4,-43,-43,-58,-53,-43
-9,14,24,-2,-17,19,4,-43,-43,-58,-53,-43
-9,19,29,-4,-19,24,9,-43,-43,-58,-53,-43
-9,19,29,-4,-19,24,9,-43,-43,-58,-53,-43
-9,14,24,-2,-17,19,4,-43,-48,-58,-53,-39
-9,14,24,-2,-17,19,14,-34,-48,-58,-43,-39
-9,14,24,-2,-17,19,14,-34,-43,-58,-43,-39
-4,14,19,-4,-12,17,14,-34,-43,-53,-43,-39
-4,14,19,-4,-12,17,14,-34,-48,-53,-43,-39
-19,14,34,2,-26,24,9,-43,-48,-53,-53,-39
-24,14,39,4,-31,26,4,-43,-48,-53,-53,-39
-24,9,34,7,-29,21,0,-43,-53,-63,-58,-39
