I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
1073,492,-580,-783,827,-43,-668,-361,341,1171,1712,1556
1205,463,-741,-834,973,-139,-746,-468,234,1176,1805,1644
1283,375,-907,-829,1095,-265,-766,-551,151,1180,1873,1673
1317,317,-1000,-817,1159,-341,-766,-605,117,1215,1927,1708
1293,278,-1015,-785,1154,-368,-780,-717,34,1161,1883,1678
1161,253,-907,-707,1034,-326,-761,-844,-92,1015,1727,1556
893,253,-639,-573,766,-192,-668,-922,-146,883,1517,1390
610,224,-385,-417,497,-80,-561,-951,-175,702,1220,1141
395,126,-268,-261,331,-70,-483,-961,-273,458,873,854
253,24,-229,-139,241,-102,-395,-936,-380,190,531,546
117,-24,-141,-46,129,-82,-292,-863,-458,-73,190,258
-29,-68,-39,48,4,-53,-195,-790,-507,-283,-92,34
-97,-87,9,92,-53,-39,-146,-741,-531,-400,-229,-82
-117,-107,9,112,-63,-48,-126,-683,-536,-429,-263,-141
-126,-126,0,126,-63,-63,-107,-590,-497,-395,-258,-141
-112,-112,0,112,-56,-56,-82,-488,-424,-317,-204,-112
-102,-97,4,100,-53,-46,-58,-400,-341,-244,-161,-82
-82,-102,-19,92,-31,-61,-29,-326,-273,-200,-117,-63
-68,-102,-34,85,-17,-68,-14,-268,-214,-156,-87,-58
-63,-68,-4,65,-29,-36,-24,-244,-190,-141,-82,-68
-43,-34,9,39,-26,-12,-39,-229,-175,-131,-73,-68
-29,-34,-4,31,-12,-19,-39,-200,-156,-107,-68,-53
-19,-39,-19,29,0,-29,-29,-161,-131,-97,-58,-43
-24,-53,-29,39,2,-41,-19,-136,-126,-92,-68,-53
-39,-63,-24,51,-7,-43,-14,-122,-131,-102,-78,-58
-53,-63,-9,58,-21,-36,-4,-102,-122,-102,-82,-68
-63,-63,0,63,-31,-31,9,-92,-102,-97,-78,-73
-53,-53,0,53,-26,-26,14,-82,-97,-102,-78,-73
-48,-34,14,41,-31,-9,9,-82,-107,-117,-82,-87
-48,-29,19,39,-34,-4,14,-73,-107,-117,-97,-92
-58,-34,24,46,-41,-4,14,-73,-107,-122,-102,-97
-58,-43,14,51,-36,-14,19,-68,-112,-122,-102,-102
